DOCID|REFERENCE|ETABLISSEMENT|RESEAU|CONTACT|EMAILCONTACT|SITEWEB|TELEPHONE|FAX|HANDICAPS|CODEPOSTAL|ADRESSE|REGION|DEPARTEMENT|VILLE|ACTIVIT
88675|2014-00081|Gite du Guernonval|Tourisme et Handicap|Mme Vampeperstraete|opvpp@orange.fr|http://|328656129|328629812|auditif ; mental ; moteur ; visuel|59470|31 rue de Pitgam|Hauts de France|NORD|ESQUELBECQ|Meublé de tourisme
88676|2014-00082|Chambres d'hôtes - Gites du Gland|Tourisme et Handicap|Mme Brocart|gite.embrocart@wanadoo.fr|http://www.gite-bouvines.fr|320413274||auditif ; moteur|59630|605 rue du Maréchal Foch|Hauts de France|NORD|BOUVINES|Chambre d'hôtes
88677|2014-00083|Hôtel Restaurant Casino Barrière|Tourisme et Handicap|Mme Legras|reservationlille@lucienbarriere.com|http://www.lucienbarriere.com|328144500|328144599|auditif ; mental ; moteur ; visuel|59777|777 bis Pont de Flandre|Hauts de France|NORD|LILLE|Hôtel-restaurant
88678|2014-00084|Gite Prune - La Ferme d'Antéline|Tourisme et Handicap|M.Duhamel|contact@la-ferme-d-anteline.fr|http://www.la-ferme-d-anteline.fr|678898414||auditif ; visuel|59253|11 rue de Bethléem|Hauts de France|NORD|GORGUE (LA)|Meublé de tourisme
88679|2014-00085|Gite Pomme - La Ferme d'Antéline|Tourisme et Handicap|M.Duhamel|contact@la-ferme-d-anteline.fr|http://www.la-ferme-d-anteline.fr|678898414||auditif ; moteur ; visuel|59253|11 rue Bethleem|Hauts de France|NORD|GORGUE (LA)|Meublé de tourisme
88680|2014-00086|Gites du Coq de Paille - Gite 1302|Tourisme et Handicap|M.Wicart|f.wicart@wanadoo.fr|http://|328494105||auditif ; mental|59270|2465 route du Mont des Cats|Hauts de France|NORD|FLETRE|Meublé de tourisme
88681|2014-00087|Gite de groupe L'Adresse de la Ferme du Roy|Tourisme et Handicap|M.Coubriche|contact@fermeduroy.com|http://www.ladresse.fermeduroy.com|344084376|344084376|auditif ; mental ; moteur|60540|4 Grande Rue|Hauts de France|OISE|ANSERVILLE|Meublé de tourisme
88682|2014-00088|Restaurant Maison M|Tourisme et Handicap|Mme Corbrion-Mouret|contact@maison-m.fr|http://www.maison-m.fr|950832996||auditif ; mental ; moteur ; visuel|60800|45 rue Nationale|Hauts de France|OISE|CRÉPY EN VALOIS|Restaurant
88683|2014-00089|Chambre d'hôtes Hugues Desfriesches - L'Aunay|Tourisme et Handicap|M.Desfrieches|cmette61@laposte.net|http://|233263986||auditif ; mental ; moteur ; visuel|61320||Normandie|ORNE|SAINTE-MARGUERITE-DE-CARROUGES|Chambre d'hôtes
88684|2014-00090|Gite de groupe L'Alouette des Champs|Tourisme et Handicap|M.Hulo|gitelalouettedeschamps@gmail.com|http://www.gitelalouettedeschamps.com|321395031||auditif ; mental ; moteur ; visuel|62560|19 rue de Duhem|Hauts de France|PAS-DE-CALAIS|RECLINGHEM|Meublé de tourisme
